USID,symbol,date,Beta (as of Date),MarketCap (as of Date),P/E (as of Date)
226634,WUBA,2/28/2017 0:00,,,
226632,AAC,2/28/2017 0:00,,,
226631,ATV,2/28/2017 0:00,,,
226630,ADPT,2/28/2017 0:00,,,
226579,DFIN,2/28/2017 0:00,,,
226578,DRQ,2/28/2017 0:00,,,
226564,FGB,2/28/2017 0:00,,,
226560,GME,2/28/2017 0:00,,,
226556,GRAM,2/28/2017 0:00,,,
226551,HTZ,2/28/2017 0:00,,,
226540,I,2/28/2017 0:00,,,
226537,IPI,2/28/2017 0:00,,,
226524,NNI,2/28/2017 0:00,,,
226522,NAO,2/28/2017 0:00,,,
226519,NADL,2/28/2017 0:00,,,
226496,SBY,2/28/2017 0:00,,,
226475,WTW,2/28/2017 0:00,,,
226472,WDAY,2/28/2017 0:00,,,
226468,ZTO,2/28/2017 0:00,,,
226422,AREX,2/28/2017 0:00,,,
226413,AAPC,2/28/2017 0:00,,,
226403,LIFE,2/28/2017 0:00,,,
226389,BLPH,2/28/2017 0:00,,,
226378,BASI,2/28/2017 0:00,,,
226369,BCRX,2/28/2017 0:00,,,
226361,CAPN,2/28/2017 0:00,,,
226347,CDNA,2/28/2017 0:00,,,
226345,CEMP,2/28/2017 0:00,,,
226335,CCRC,2/28/2017 0:00,,,
226330,CLSD,2/28/2017 0:00,,,
226320,CNXR,2/28/2017 0:00,,,
226305,CRSP,2/28/2017 0:00,,,
226285,DPRX,2/28/2017 0:00,,,
226280,EDIT,2/28/2017 0:00,,,
226270,ETRM,2/28/2017 0:00,,,
226212,HSII,2/28/2017 0:00,,,
226211,HSKA,2/28/2017 0:00,,,
226208,HTGM,2/28/2017 0:00,,,
226204,ICFI,2/28/2017 0:00,,,
226203,IPWR,2/28/2017 0:00,,,
226195,INCR,2/28/2017 0:00,,,
226179,JAGX,2/28/2017 0:00,,,
226160,KONE,2/28/2017 0:00,,,
226158,KITE,2/28/2017 0:00,,,
226156,KONA,2/28/2017 0:00,,,
226152,LTRX,2/28/2017 0:00,,,
226137,MDVX,2/28/2017 0:00,,,
226133,MEDP,2/28/2017 0:00,,,
226098,ONSIZ,2/28/2017 0:00,,,
226091,OPHT,2/28/2017 0:00,,,
226088,OREX,2/28/2017 0:00,,,
226078,PRGX,2/28/2017 0:00,,,
226077,IPDN,2/28/2017 0:00,,,
226071,PULM,2/28/2017 0:00,,,
226067,PLSE,2/28/2017 0:00,,,
226056,RTK,2/28/2017 0:00,,,
226044,RTTR,2/28/2017 0:00,,,
226027,SMSI,2/28/2017 0:00,,,
226010,TCMD,2/28/2017 0:00,,,
226007,AMTD,2/28/2017 0:00,,,
226002,TTD,2/28/2017 0:00,,,
225961,ZAIS,2/28/2017 0:00,,,
226629,ADPT,2/27/2017 0:00,,,
226625,AGI,2/27/2017 0:00,,,
226623,AMRC,2/27/2017 0:00,,,
226618,AZRE,2/27/2017 0:00,,,
226616,BCEI,2/27/2017 0:00,,,
226613,BBW,2/27/2017 0:00,,,
226565,FGP,2/27/2017 0:00,,,
226555,GRAM,2/27/2017 0:00,,,
226549,HGG,2/27/2017 0:00,,,
226541,IBP,2/27/2017 0:00,,,
226539,I,2/27/2017 0:00,,,
226515,OIBR.C,2/27/2017 0:00,,,
226497,SSTK,2/27/2017 0:00,,,
226491,BID,2/27/2017 0:00,,,
226474,WTW,2/27/2017 0:00,,,
226460,ACOR,2/27/2017 0:00,,,
226452,AGEN,2/27/2017 0:00,,,
226443,ADHD,2/27/2017 0:00,,,
226441,ALDR,2/27/2017 0:00,,,
226436,ALNY,2/27/2017 0:00,,,
226433,FOLD,2/27/2017 0:00,,,
226425,AGTC,2/27/2017 0:00,,,
226415,ARRY,2/27/2017 0:00,,,
226414,ATRA,2/27/2017 0:00,,,
226412,AAPC,2/27/2017 0:00,,,
226401,EARS,2/27/2017 0:00,,,
226396,AXTI,2/27/2017 0:00,,,
226388,BLPH,2/27/2017 0:00,,,
226377,BASI,2/27/2017 0:00,,,
226370,ORPN,2/27/2017 0:00,,,
226359,CAPNW,2/27/2017 0:00,,,
226352,CARA,2/27/2017 0:00,,,
226343,CERU,2/27/2017 0:00,,,
226308,CRVS,2/27/2017 0:00,,,
226304,CRSP,2/27/2017 0:00,,,
226300,CSPI,2/27/2017 0:00,,,
226298,CMLS,2/27/2017 0:00,,,
226293,DWCH,2/27/2017 0:00,,,
226292,DCTH,2/27/2017 0:00,,,
226281,DVAX,2/27/2017 0:00,,,
226269,EPZM,2/27/2017 0:00,,,
226245,GLMD,2/27/2017 0:00,,,
226224,GOGO,2/27/2017 0:00,,,
226213,HTBX,2/27/2017 0:00,,,
226207,HTGM,2/27/2017 0:00,,,
226199,IMGN,2/27/2017 0:00,,,
226193,INNL,2/27/2017 0:00,,,
226186,NTLA,2/27/2017 0:00,,,
226178,JAGX,2/27/2017 0:00,,,
226172,JUNO,2/27/2017 0:00,,,
226171,KPTI,2/27/2017 0:00,,,
226162,KMPH,2/27/2017 0:00,,,
226157,KITE,2/27/2017 0:00,,,
226155,LJPC,2/27/2017 0:00,,,
226146,LOXO,2/27/2017 0:00,,,
226120,NK,2/27/2017 0:00,,,
226113,NVLS,2/27/2017 0:00,,,
226108,NVCR,2/27/2017 0:00,,,
226103,OCUL,2/27/2017 0:00,,,
226093,OMED,2/27/2017 0:00,,,
226090,OPHT,2/27/2017 0:00,,,
226076,IPDN,2/27/2017 0:00,,,
226075,PGNX,2/27/2017 0:00,,,
226070,PULM,2/27/2017 0:00,,,
226055,RTK,2/27/2017 0:00,,,
226045,RIGL,2/27/2017 0:00,,,
226040,SAGE,2/27/2017 0:00,,,
226035,SNMX,2/27/2017 0:00,,,
226033,SGOC,2/27/2017 0:00,,,
226024,ONCE,2/27/2017 0:00,,,
226022,SBPH,2/27/2017 0:00,,,
225990,THST,2/27/2017 0:00,,,
225986,RARE,2/27/2017 0:00,,,
225980,VRTU,2/27/2017 0:00,,,
225978,VTVT,2/27/2017 0:00,,,
