USID,symbol,date,Beta (as of Date),MarketCap (as of Date),P/E (as of Date)
168304,AMZN,4/29/2016,1.1057,311213.0123,270.6564
104094,GILD,4/29/2016,1.0738,119492.9572,7.4558
166520,AMGN,10/28/2016,1.1445,108002.6592,14.424
104095,GILD,7/26/2016,1.0503,107944.1353,6.9018
224797,AGN,4/5/2016,1.0277,93466.8043,149.2058
143800,CELG,11/9/2016,1.2961,93078.6838,32.9385
104096,GILD,2/8/2017,1.042,87547.3024,6.3143
46380,QCOM,1/23/2017,1.2324,81096.3067,13.8993
224798,AGN,11/9/2016,1.012,79854.5642,563.7793
16956,PCLN,5/4/2016,1.0788,62200.1336,24.2396
154776,BIDU,5/2/2016,1.1866,61947.6329,28.7134
180273,UBS,5/3/2016,1.0213,61255.9316,#N/A N/A
16957,PCLN,6/24/2016,1.163,61162.6674,23.8353
180276,UBS,11/10/2016,1.3771,60451.7032,#N/A N/A
226107,NVDA,2/23/2017,1.0675,54164.1088,38.7329
180274,UBS,6/24/2016,1.1409,53710.5107,#N/A N/A
187154,RIO,5/9/2016,1.3484,53642.4287,#N/A N/A
62381,NFLX,10/18/2016,1.2406,50928.2892,321.0541
180275,UBS,6/27/2016,1.1651,49321.2647,#N/A N/A
59186,NVDA,11/11/2016,1.1837,47063.9507,43.7629
201869,ING,8/3/2016,1.3352,44325.1493,#N/A N/A
41920,REGN,11/9/2016,1.3099,44130.8839,61.8884
198729,LVS,12/8/2016,1.2799,43451.382,23.2808
195930,MET,8/4/2016,1.3285,43441.2832,9.2753
195929,MET,6/24/2016,1.2785,43331.4165,7.8367
182242,TEF,6/24/2016,1.1278,43085.2252,#N/A N/A
41919,REGN,4/1/2016,1.2497,42465.3949,63.3101
62379,NFLX,4/19/2016,1.2191,40385.1811,325.3103
201868,ING,6/24/2016,1.298,39412.3174,#N/A N/A
198728,LVS,4/21/2016,1.2656,37660.5733,20.4383
62380,NFLX,7/19/2016,1.2315,36801.7886,268.25
85937,JD,11/15/2016,1.2,36550.0301,#N/A N/A
184292,S,12/7/2016,1.7399,35433.3326,#N/A N/A
219117,CCL,6/24/2016,1.1021,34740.0855,14.5938
85936,JD,4/26/2016,1.2867,34695.5419,#N/A N/A
217051,CHA,6/24/2016,1.0121,34598.5883,#N/A N/A
121169,EBAY,7/21/2016,1.0221,33791.5326,18.6566
181751,BX,12/7/2016,1.5153,33764.8317,27.2424
58936,NXPI,9/29/2016,1.381,33257.796,190.8897
121170,EBAY,10/20/2016,1.0769,32442.2258,18.4496
201587,ICE,11/4/2016,0.8644,31791.2318,21.0981
189049,PRU,6/24/2016,1.3755,31342.22,7.3614
170479,ALXN,1/5/2017,1.3024,31166.6732,62.0098
170474,ALXN,6/7/2016,1.2808,30943.9043,51.8901
193172,NOK,6/24/2016,0.9675,30403.1433,#N/A N/A
170476,ALXN,10/27/2016,1.3265,29459.4584,62.4314
19099,TSLA,6/22/2016,1.2151,28963.4274,#N/A N/A
136838,CTSH,9/30/2016,1.2097,28957.2423,15.6672
179314,VMW,7/19/2016,0.8393,28948.1189,24.5058
222613,BSBR,11/10/2016,1.3447,28913.18,#N/A N/A
184291,S,11/9/2016,1.5245,28306.8551,#N/A N/A
222614,BSBR,12/1/2016,1.3549,28198.2882,#N/A N/A
58935,NXPI,6/24/2016,1.3298,27704.4497,48.4582
193173,NOK,10/27/2016,1.0627,27602.7973,#N/A N/A
197976,LUX,1/17/2017,0.9323,27467.309,#N/A N/A
203229,HCA,11/9/2016,0.9775,27037.3215,11.0115
170478,ALXN,12/12/2016,1.308,25806.46,54.6899
164839,AMAT,5/20/2016,1.1191,25622.2196,19.1507
170477,ALXN,11/11/2016,1.2757,25479.0581,53.9961
