USID,MarketCapitalization,PriceToBook,Beta
225955,458.1416,1.5829,0.8312
225966,267.9804,2.2192,1.6535
225977,121.6299,0.9992,1.7821
225994,5613.4649,22.7644,0.0
225997,277.9884,5.5689,1.2749
226049,639.5255,2.6942,0.7748
226056,256.455,1.8311,2.8775
226072,68.4112,-11.5425,0.9434
226082,914.443,-109.7653,0.7373
226098,186.7286,2.8376,1.3887
226115,14.164,2.6268,0.0
226134,62.7947,1.8928,0.2859
226146,0.7619,0.0203,0.0
226185,17.1528,3.2697,0.0
226192,242.4662,8.7021,0.1182
226216,20.2243,1.6209,0.4721
226217,143.2928,3.2672,0.8092
226229,68.2538,-213.9574,1.1969
226234,34.5849,-11.0553,0.5423
226243,40.0188,0.9889,0.3521
226282,32.3062,1.7142,1.0018
226307,45.6412,1.7494,0.0005
226315,118.9232,7.4804,1.4843
226326,69.0403,2.4057,0.4095
226355,9.2222,0.0219,1.4234
226367,6.5294,0.5901,0.8945
226392,934.5792,2.3653,0.656
226417,57.8556,-3.0945,1.4007
226430,419.0882,2.5105,1.8939
226454,178.0209,-47.8038,1.3671
226464,45.7822,0.5383,0.847
226472,23.6732,-16.0278,0.0
226483,161.3729,1.6955,2.1385
226508,16.066,-7.254,0.7116
226514,653.9558,1.9687,0.8406
226545,2.2689,0.083,0.7726
226585,372.2377,3.5442,1.0359
226603,3002.3176,2.1224,1.1549
226629,968.6334,4.1431,2.1289
226635,79.7441,7.796,1.8822
226664,6.4702,-3.6086,0.0
226677,50.087,0.8356,2.6925
226697,550.6367,7.0164,2.0635
226719,204.835,1.5602,0.632
226723,365.1224,2.5549,0.1209
226728,1225.1577,29.608,1.5463
226763,280.9143,1.2865,0.9372
226774,247.8162,9.5814,1.6643
226782,21.1562,0.6067,0.4653
226786,41.6244,2.5046,0.446
226790,10.8902,18.5586,-0.0185
226801,38.0241,1.0316,1.2327
226813,432.1605,6.0188,1.639
226843,1073.1971,10.9835,1.0276
226901,156.159,1.3056,1.3701
226905,26.7772,1.3424,1.0773
226912,33.6618,4.5452,0.4616
226928,605.6846,2.2416,1.698
226943,47.4298,2.3556,1.1703
226957,99.444,0.1734,2.8141
227020,91.4622,1.884,1.9735
227030,326.3203,1.8113,1.0443
