Date,DJTMNAB,DJTMNMO,DJTMNSV,DJTMNQU,DJTMNSS
12/31/2001,1016.51,995.644,502.412,888.4562,540.8018
1/1/2002,1016.51,995.644,502.412,888.4562,540.8018
1/2/2002,1011.52,984.0947,501.949,886.3716,536.4026
1/3/2002,995.58,979.658,499.2501,881.9849,538.844
1/4/2002,981.2,972.1597,499.7732,875.1542,539.5292
1/7/2002,987.7,974.9375,504.1197,874.2596,533.3057
1/8/2002,990.28,978.9254,501.8481,879.7151,535.722
1/9/2002,990.37,981.0931,504.1687,881.5036,533.5402
1/10/2002,990.98,979.2875,502.0923,889.1672,533.4473
1/11/2002,1002.86,980.7664,500.7921,888.1977,532.3522
1/14/2002,1024.5699,988.1976,507.2138,892.5363,527.1136
1/15/2002,1029.47,992.0946,507.7733,895.6711,524.9022
1/16/2002,1053.3199,1005.2292,513.4037,898.838,518.4528
1/17/2002,1046.78,1009.2007,509.0815,903.4001,515.3567
1/18/2002,1062.25,1017.3611,514.5715,905.6393,511.9411
1/21/2002,1062.25,1017.3611,514.5715,905.6393,511.9411
1/22/2002,1077.48,1024.6019,516.8541,906.2332,509.6621
1/23/2002,1065.16,1026.5593,511.6737,904.8597,513.1678
1/24/2002,1053.45,1019.2163,509.515,901.3306,515.3599
1/25/2002,1049.35,1022.378,511.9249,897.7461,513.8786
1/28/2002,1053.64,1030.4617,515.0481,897.949,511.5668
1/29/2002,1065.7,1039.0503,515.6714,900.7402,513.916
1/30/2002,1068.86,1047.3721,512.1186,909.1715,512.4557
1/31/2002,1073.14,1056.0939,513.0004,912.6624,508.1267
2/1/2002,1076.92,1052.507,513.7836,918.4271,510.7307
2/4/2002,1110.5,1080.0823,521.4448,927.7397,502.8657
2/5/2002,1129.74,1097.2322,520.8646,936.8498,499.9328
2/6/2002,1143.48,1105.4063,521.3579,937.0582,495.7565
2/7/2002,1143.62,1101.7179,526.0983,936.0805,493.1129
2/8/2002,1125.45,1090.6348,521.1766,933.6006,495.5278
2/11/2002,1113.01,1081.4189,519.9187,927.2706,498.9834
2/12/2002,1108.71,1085.408,517.8892,925.4958,501.9137
2/13/2002,1104.36,1086.5875,516.3582,931.548,502.5999
2/14/2002,1115.61,1093.8218,520.4096,938.7992,497.2717
2/15/2002,1129.61,1101.363,524.7993,941.4618,495.8093
2/18/2002,1129.61,1101.363,524.7993,941.4618,495.8093
2/19/2002,1152.9,1108.6793,533.4948,944.4496,492.2301
2/20/2002,1143.47,1107.0985,531.9021,945.9916,491.6762
2/21/2002,1154.6801,1108.8116,537.4482,942.449,491.4037
2/22/2002,1158.4,1109.3507,536.5544,946.132,492.2069
