date,USID,stockid,price,dayreturn,volume,yrHi,yrLo,qHi,qLo,mHi,mLo,sector,Gap,DayDelta,MktDelta,SectorDelta,3MoMom,3MoFear,5DayMom,5DayFear,JSpread,5DayJunk,3MoJunk,VixOpen,VixDelta,VWkAvg,Beta,MktCap
3/31/2016,110013,11869,20.59,-0.078747204,249100,0.484812798,1.101658582,0.5360583179999999,1.101658582,0.787079511,1.101658582,XLF,-0.010199174,0.009813592,0.007857509,0.013845422,-0.08341259200000001,0.015520114,-0.0074688590000000004,-0.020385211,7.05,0.038291605,-0.007042254,13.73,0.012536873,14.375,1.0234,392.6187
3/31/2016,9724,12675,63.310001,0.104886599,617700,0.472145595,1.248225547,0.544836511,1.248225547,0.9340513709999999,1.184914861,XLV,-0.002527231,0.052414836,0.007857509,0.015555600000000001,-0.08341259200000001,0.015520114,-0.0074688590000000004,-0.020385211,7.05,0.038291605,-0.007042254,13.73,0.012536873,14.375,1.5502,2467.7962
3/31/2016,46735,12410,4.88,0.340659341,2089600,0.227505817,1.3406593409999998,0.562211982,1.3406593409999998,1.0,1.3406593409999998,XLV,-0.100409836,0.134396355,0.007857509,0.015555600000000001,-0.08341259200000001,0.015520114,-0.0074688590000000004,-0.020385211,7.05,0.038291605,-0.007042254,13.73,0.012536873,14.375,1.2893,113.8902
3/31/2016,106820,11910,7.74,0.9496221659999999,24090800,0.481942745,2.9318181819999998,1.0,2.9318181819999998,1.0,2.02617801,XLV,-0.046511628,-0.193766938,0.007857509,0.015555600000000001,-0.08341259200000001,0.015520114,-0.0074688590000000004,-0.020385211,7.05,0.038291605,-0.007042254,13.73,0.012536873,14.375,1.0456,217.90099999999998
3/31/2016,136663,11682,21.23,0.10285714300000001,227600,0.566737869,1.692982456,0.894271272,1.692982456,1.0,1.413448735,XLV,-0.012246868000000001,0.071530762,0.007857509,0.015555600000000001,-0.08341259200000001,0.015520114,-0.0074688590000000004,-0.020385211,7.05,0.038291605,-0.007042254,13.73,0.012536873,14.375,1.4435,830.1658
3/31/2016,95020,12025,13.0,0.100762066,140100,0.46578287399999996,1.602959309,0.603808611,1.602959309,1.0,1.220657277,XLV,-0.017692308,0.064996085,0.007857509,0.015555600000000001,-0.08341259200000001,0.015520114,-0.0074688590000000004,-0.020385211,7.05,0.038291605,-0.007042254,13.73,0.012536873,14.375,1.9104,261.9916
3/31/2016,34659,12493,11.0,0.13753878,2477800,0.978647687,1.669195751,1.0,1.447368421,1.0,1.207464325,XLV,-0.016363636,0.055452865,0.007857509,0.015555600000000001,-0.08341259200000001,0.015520114,-0.0074688590000000004,-0.020385211,7.05,0.038291605,-0.007042254,13.73,0.012536873,14.375,0.8974,545.8663
3/31/2016,75261,12173,18.75,0.088218224,342300,0.47540569200000005,1.2376237620000001,0.599424533,1.2376237620000001,0.96302008,1.2376237620000001,XLV,-0.011199947,0.023732415,0.007857509,0.015555600000000001,-0.08341259200000001,0.015520114,-0.0074688590000000004,-0.020385211,7.05,0.038291605,-0.007042254,13.73,0.012536873,14.375,1.6151,647.3645
3/31/2016,133289,11711,4.68,0.096018735,613800,0.653631285,1.426829268,0.8931297709999999,1.426829268,1.0,1.209302326,XLV,0.0,0.008547009,0.007857509,0.015555600000000001,-0.08341259200000001,0.015520114,-0.0074688590000000004,-0.020385211,7.05,0.038291605,-0.007042254,13.73,0.012536873,14.375,1.4591,513.2116
3/31/2016,21168,12593,9.86,0.09433962300000001,99500,0.505900462,1.304232804,0.8996350359999999,1.304232804,1.0,1.211302211,XLV,-0.006085193000000001,-0.004081633,0.007857509,0.015555600000000001,-0.08341259200000001,0.015520114,-0.0074688590000000004,-0.020385211,7.05,0.038291605,-0.007042254,13.73,0.012536873,14.375,1.2057,239.0938
3/31/2016,143390,11626,17.52,0.07616701,702100,0.38641376299999997,1.175838926,0.554957238,1.175838926,0.9429494079999999,1.175838926,XLV,-0.014269406,0.022003474,0.007857509,0.015555600000000001,-0.08341259200000001,0.015520114,-0.0074688590000000004,-0.020385211,7.05,0.038291605,-0.007042254,13.73,0.012536873,14.375,1.7346,843.9337
4/1/2016,190339,10962,8.51,0.105194805,363200,0.449550977,2.331506849,1.0,2.331506849,1.0,2.331506849,XLF,0.0011750880000000001,-0.003521127,-0.003405408,-0.00396821,-0.07821241599999999,0.031938576,0.00419326,0.005247029,7.05,0.017316017,0.00284495,15.23,0.09175627199999999,14.06833333,0.6545,231.2715
