USID,n3r,n5r,ndr,ndv
168751,0.033355278,0.059468927,0.013567638,645900
5168,0.038257138,0.009564293,0.002485795,307400
179380,-0.058850834,-0.031974096,0.03007155,4093600
108521,0.077032841,0.078459346,-0.016830378,59000
72745,-0.011142116,-0.038997268,-0.029729676,326100
206363,-0.007341223,-0.01444558,0.006255231,1523700
27010,-0.091653028,-0.139116203,0.02173913,562400
111127,0.035087719,0.013157895,-0.01511879,4408300
151671,0.037885215,0.038026606,0.004829488,763000
225896,0.057125524,-0.020966241,-0.019952411,3046500
131943,0.005428422,0.027142263,0.003111708,1285000
172792,0.194610778,0.230538922,0.012121212,574400
21875,0.000883103,-0.024138916,0.042984372,1186400
88292,0.027803332,0.023384293,0.018567161,2087600
103621,0.086046512,0.251162791,0.091370503,1991600
40032,-0.004310345,0.056034483,-0.053061224,57400
111155,-0.061403509,-0.061403509,-0.042016807,210500
92937,-0.006418792,-0.015493581,0.022866245,458700
180553,0.074454429,0.066752311,-0.050578915,72812600
57708,0.05946935,0.008234218,-0.032743363,288400
110037,0.2625,0.1875,-0.012345679,581400
71986,-0.030977255,-0.03987681,0.047132635,1296900
11350,0.04358209,-0.00358203,-0.018171103,3547000
190328,0.008790349,0.020064952,0.019680475,1012600
17715,0.031700288,0.043804092,-0.006868861,694900
101951,0.017707363,0.025163094,0.017061611,23000
189104,-0.045454561,-0.063973129,0.024137966,654100
164276,0.04310351,0.089901539,0.004950495,874200
213548,0.016666667,0.026190476,-0.002375297,687300
175591,-0.004699892,0.008315221,-0.023305085,2690300
213057,0.081509788,0.033369692,-0.002183352,15835300
173903,0.02419359,0.020161291,0.006085152,2508000
26988,-0.012586403,-0.020740968,0.048318137,498700
171407,-0.004698497,0.006108066,0.004720677,4070600
85726,-0.022727273,-0.045454545,0.011494253,772900
136673,-0.021231423,-0.023354523,-0.002118686,611400
205332,-0.076271239,-0.079096154,0.005681875,945500
84084,0.012295123,0.034836066,0.008264421,313400
104096,0.029882713,0.071962224,-0.018554631,23004000
212165,0.004399369,0.008607517,0.066285949,4274100
213547,0.009501188,0.011876485,0.107894737,1239900
8009,0.085213033,0.194235589,0.011406844,155900
177877,-0.011811024,-0.023622047,-0.023076923,685900
66552,0.021302292,0.077170421,-0.004401801,2285600
389,-0.015306122,0.066326531,0.065217391,488600
108087,-0.054766775,-0.032454361,0.027083333,595100
147311,-0.02147976,-0.035799521,0.021951268,919500
66696,-0.010204082,-0.030612245,0.042553191,863500
188180,0.028455331,-0.028455241,-0.003151734,48400
202434,0.03264095,-0.295252226,0.032159265,1380800
148789,0.037369207,0.028400627,0.024502265,436400
423,0.057430493,0.029899409,-0.016021059,980600
178307,0.045466857,0.065375306,-0.002683177,677900
218149,0.051851852,0.058201058,-0.009433962,731400
170551,0.068965428,0.036637843,0.00215987,898300
204479,0.070351759,0.030150754,-0.043269231,4747400
163558,0.074918567,0.06514658,-0.068285281,2054200
203381,0.012920565,0.020457549,-0.022368368,1500600
220226,0.021213407,0.028425965,-0.00674252,11664800
202433,-0.082556591,-0.073235686,-0.020860495,1215200
145243,-0.09885099,-0.116481815,-0.013869877,918700
212774,0.100755668,0.025188917,0.000840336,31700
196949,-0.028128345,-0.030652759,-0.025650001,1067700
147392,-0.027472527,-0.016483516,-0.010869565,1351500
62902,0.00990099,0.04950495,0,378700
188165,0.000784929,-0.018838305,0.015139442,344100
103263,-0.080967403,-0.048370137,-0.007306889,4905400
25713,0.103174603,0.103174603,-0.038167939,544000
17196,0.031309499,0.071504168,0.028503069,4018000
52849,0.032647088,0.017941206,-0.028016009,471300
209158,0.003496503,0.031468531,-0.049833887,448500
98248,0.011282031,0.021538441,0.002055457,356100
115746,0.012448133,0,-0.004132231,468600
194525,0.003330558,0.039134055,0.001668057,209800
49634,0.047222222,0.102777778,0.014084507,1028400
127931,-0.033463035,-0.025680934,-0.00464756,6699100
212164,0.131112027,0.115967133,-0.008579966,2445400
190298,-0.054830287,-0.049608303,0.018617075,324200
157825,0.052346089,0.028749661,0.01570247,925100
115245,0.149490317,0.136466591,0.07420918,1782200
110468,0.037788018,0.083870968,-0.007319305,10221400
38822,0.008645533,0.005763689,-0.028011204,215900
108357,0.004229447,-0.000793101,0.002916251,3762900
181675,0.027534418,0.023779725,0.019132653,715500
136623,-0.050165877,-0.036898879,-0.032102689,57400
143436,0.076461819,0.168415742,0.0005,191700
202432,-0.12125163,-0.138200782,-0.085816448,979600
115674,0.015754577,0.015339959,0.011744975,79800
18566,0.042352941,0.183529412,0.03406326,441000
83403,0.027288732,0.011443662,-0.020689655,276200
182905,-0.002217276,-0.005727975,-0.020984081,3197200
219811,-0.087033696,-0.074600374,-0.033476412,829400
20221,-0.010196728,0.004031349,0.011270911,7729100
31432,-0.021773622,-0.006123838,0.008924462,1955700
