symbol,name,lastsale,marketcap,adr_tso,ipoyear,sector,industry,summary_quote,serialid
DDD,3D Systems Corporation,16.76,1883148454.68,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ddd,1
MMM,3M Company,175.04,104450967701.12,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/mmm,2
WBAI,500.com Limited,13.32,552754119.24,n/a,2013,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/wbai,3
WUBA,58.com Inc.,28,4051693968,n/a,2013,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/wuba,4
AHC,A.H. Belo Corporation,6.5,140895690,n/a,n/a,Consumer Services,Newspapers/Magazines,http://www.nasdaq.com/symbol/ahc,5
ATEN,"A10 Networks, Inc.",7.92,532270015.2,n/a,2014,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/aten,6
AAC,"AAC Holdings, Inc.",8.17,193687015.17,n/a,2014,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/aac,7
AIR,AAR Corp.,32.98,1132171871.12,n/a,n/a,Capital Goods,Aerospace,http://www.nasdaq.com/symbol/air,8
AAN,"Aaron&#39;s,  Inc.",29.93,2172268548.93,n/a,n/a,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/aan,9
ABB,ABB Ltd,23.63,50471915807.83,n/a,n/a,Consumer Durables,Electrical Products,http://www.nasdaq.com/symbol/abb,10
ABT,Abbott Laboratories,42.78,73846836000,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abt,11
ABBV,AbbVie Inc.,60.67,98594757058.04,n/a,2012,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abbv,12
ANF,Abercrombie & Fitch Company,11.69,791120609.72,n/a,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/anf,13
GCH,"Aberdeen Greater China Fund, Inc.",9.22,82659826.28,n/a,1992,n/a,n/a,http://www.nasdaq.com/symbol/gch,14
JEQ,"Aberdeen Japan Equity Fund, Inc. ",7.74,104095430.28,n/a,1992,n/a,n/a,http://www.nasdaq.com/symbol/jeq,15
SGF,"Aberdeen Singapore Fund, Inc.",9.61,72615927.68,n/a,1990,n/a,n/a,http://www.nasdaq.com/symbol/sgf,16
ABM,ABM Industries Incorporated,40.86,2270006678.34,n/a,n/a,Finance,Diversified Commercial Services,http://www.nasdaq.com/symbol/abm,17
AKR,Acadia Realty Trust,32.15,2599758438.6,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/akr,18
ACN,Accenture plc,114.49,73725943922.03,n/a,2001,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/acn,19
ACCO,Acco Brands Corporation,12.85,1378012219.25,n/a,n/a,Consumer Durables,Publishing,http://www.nasdaq.com/symbol/acco,20
ATV,"Acorn International, Inc.",8.4992,32522664.7552,n/a,2007,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/atv,21
ATU,Actuant Corporation,26.9,1592089196.8,n/a,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/atu,22
AYI,Acuity Brands Inc,206.35,9098512137,n/a,n/a,Consumer Durables,Building Products,http://www.nasdaq.com/symbol/ayi,23
GOLF,Acushnet Holdings Corp.,17.86,1323311660.28,n/a,2016,Consumer Non-Durables,Recreational Products/Toys,http://www.nasdaq.com/symbol/golf,24
ADX,"Adams Diversified Equity Fund, Inc.",13.25,1265934878.75,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/adx,25
PEO,"Adams Natural Resources Fund, Inc.",20.29,579387138.45,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/peo,26
AGRO,Adecoagro S.A.,12.56,1525889619.12,n/a,2011,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/agro,27
ADPT,Adeptus Health Inc.,7.23,152697809.67,n/a,2014,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/adpt,28
ADNT,Adient plc,63.02,5904260361.52,n/a,2016,n/a,n/a,http://www.nasdaq.com/symbol/adnt,29
AAP,Advance Auto Parts Inc,162.75,11987127468.75,n/a,n/a,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/aap,30
ADSW,"Advanced Disposal Services, Inc.",21.82,1914059935.34,n/a,2016,Public Utilities,Environmental Services,http://www.nasdaq.com/symbol/adsw,31
WMS,"Advanced Drainage Systems, Inc.",24.15,1330984432.05,n/a,2014,Capital Goods,Containers/Packaging,http://www.nasdaq.com/symbol/wms,32
ASX,"Advanced Semiconductor Engineering, Inc.",5.92,9082235488,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/asx,33
APFH,"AdvancePierre Foods Holdings, Inc.",28.18,2178450673,n/a,2016,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/apfh,34
ASIX,AdvanSix Inc.,26.45,806274450.7,n/a,2016,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/asix,35
AAV,Advantage Oil & Gas Ltd,6.5,1200253164.5,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/aav,36
AVK,Advent Claymore Convertible Securities and Income Fund,15.82,373049474.14,n/a,2003,n/a,n/a,http://www.nasdaq.com/symbol/avk,37
AGC,Advent Claymore Convertible Securities and Income Fund II,6.1,196400943.6,n/a,2007,n/a,n/a,http://www.nasdaq.com/symbol/agc,38
LCM,Advent/Claymore Enhanced Growth & Income Fund,8.62,117258075.5,n/a,2005,n/a,n/a,http://www.nasdaq.com/symbol/lcm,39
ACM,AECOM,37.22,5729930416.4,n/a,2007,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/acm,40
ANW,Aegean Marine Petroleum Network Inc.,11.3,445263188.6,n/a,2006,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/anw,41
AEB,Aegon NV,23.17,0,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aeb,42
AED,Aegon NV,25.9625,0,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aed,43
AEG,Aegon NV,5.62,11853498667.68,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aeg,44
AEH,Aegon NV,25.41,0,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aeh,45
AEK,Aegon NV,25.74,0,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aek,46
AER,Aercap Holdings N.V.,45.1,8196637893.4,n/a,2006,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/aer,47
HIVE,"Aerohive Networks, Inc.",5.24,268371368.4,n/a,2014,Technology,EDP Services,http://www.nasdaq.com/symbol/hive,48
AJRD,"Aerojet Rocketdyne Holdings, Inc. ",18.59,1381237000,n/a,n/a,Capital Goods,Military/Government/Technical,http://www.nasdaq.com/symbol/ajrd,49
AET,Aetna Inc.,122.56,43006304000,n/a,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/aet,50
AMG,"Affiliated Managers Group, Inc.",158.13,8668280680.29,n/a,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/amg,51
MGR,"Affiliated Managers Group, Inc.",25.45,0,n/a,2012,Finance,Investment Managers,http://www.nasdaq.com/symbol/mgr,52
AFL,Aflac Incorporated,68.61,27999884257.68,n/a,n/a,Finance,Accident &Health Insurance,http://www.nasdaq.com/symbol/afl,53
AFSD,Aflac Incorporated,25.38,0,n/a,n/a,Finance,Accident &Health Insurance,http://www.nasdaq.com/symbol/afsd,54
MITT,"AG Mortgage Investment Trust, Inc.",17.48,484198691.92,n/a,2011,n/a,n/a,http://www.nasdaq.com/symbol/mitt,55
MITT^A,"AG Mortgage Investment Trust, Inc.",25.15,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mitt^a,56
MITT^B,"AG Mortgage Investment Trust, Inc.",24.4675,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mitt^b,57
AGCO,AGCO Corporation,63.18,5071248905.58,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/agco,58
A,"Agilent Technologies, Inc.",49.38,15887910363.78,n/a,1999,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/a,59
AEM,Agnico Eagle Mines Limited,49.21,11090288368.39,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/aem,60
ADC,Agree Realty Corporation,46.87,1213134991.38,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/adc,61
AGU,Agrium Inc.,103.29,14272149977.25,n/a,n/a,Basic Industries,Agricultural Chemicals,http://www.nasdaq.com/symbol/agu,62
AL,Air Lease Corporation,37,3805202433,n/a,2011,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/al,63
APD,"Air Products and Chemicals, Inc.",140.16,30475490432.64,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/apd,64
AYR,Aircastle Limited,22.79,1792071868.28,n/a,2006,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/ayr,65
AKS,AK Steel Holding Corporation,8.13,2544849510.6,n/a,n/a,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/aks,66
ALP^O,Alabama Power Company,28.12,0,n/a,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/alp^o,67
ALG,"Alamo Group, Inc.",77.07,887124331.17,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/alg,68
AGI,Alamos Gold Inc.,8.24,2200710318.8,n/a,2015,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/agi,69
ALK,"Alaska Air Group, Inc.",94.09,11598756570,n/a,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/alk,70
AIN,Albany International Corporation,48,1540800000,n/a,n/a,Basic Industries,Textiles,http://www.nasdaq.com/symbol/ain,71
ALB,Albemarle Corporation,94.27,10603106769.53,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/alb,72
AA,Alcoa Corporation,36.86,6742836475.7,n/a,2016,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/aa,73
ALR,Alere Inc.,38.93,3387013475.94,n/a,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/alr,74
ALR^B,Alere Inc.,326.4,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/alr^b,75
