symbol,name,lastsale,marketcap,adr_tso,ipoyear,sector,industry,summary_quote,serialid
PIH,"1347 Property Insurance Holdings, Inc.",6.5001,38733224.8866,n/a,2014,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/pih,1
FLWS,"1-800 FLOWERS.COM, Inc.",9.5,620176017,n/a,1999,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/flws,2
FCCY,1st Constitution Bancorp (NJ),18,143699292,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/fccy,3
SRCE,1st Source Corporation,44.82,1159751204.64,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/srce,4
VNET,"21Vianet Group, Inc.",7.48,431969685.84,57749958,2011,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/vnet,5
TWOU,"2U, Inc.",34.19,1609002290.09,n/a,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/twou,6
JOBS,"51job, Inc.",35.78,958666814.38,26793371,2004,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/jobs,7
CAFD,8point3 Energy Partners LP,13.565,1072620904.2,n/a,2015,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/cafd,8
EGHT,8x8 Inc,15.85,1435243874.4,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/eght,9
AVHI,"A V Homes, Inc.",17.8,401748064.8,n/a,n/a,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/avhi,10
SHLM,"A. Schulman, Inc.",34.7,1022212274.9,n/a,1972,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/shlm,11
AAON,"AAON, Inc.",34,1793678160,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aaon,12
ABAX,"ABAXIS, Inc.",51.41,1158524350,n/a,1992,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/abax,13
ABEO,Abeona Therapeutics Inc.,4.85,193803904.8,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abeo,14
ABEOW,Abeona Therapeutics Inc.,2.6499,0,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abeow,15
ABIL,Ability Inc.,3.21,82677215.82,n/a,2014,Finance,Business Services,http://www.nasdaq.com/symbol/abil,16
ABMD,"ABIOMED, Inc.",104.96,4553269025.28,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/abmd,17
AXAS,Abraxas Petroleum Corporation,2.47,333697000,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/axas,18
ACIU,AC Immune SA,12.14,672507949.88,n/a,2016,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aciu,19
ACIA,"Acacia Communications, Inc.",57.25,2142458906.75,n/a,2016,Technology,Semiconductors,http://www.nasdaq.com/symbol/acia,20
ACTG,Acacia Research Corporation,5.9,297733942,n/a,n/a,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/actg,21
ACHC,"Acadia Healthcare Company, Inc.",38.8,3395026422.8,n/a,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/achc,22
ACAD,ACADIA Pharmaceuticals Inc.,36.61,4433977902.06,n/a,2004,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acad,23
ACST,"Acasti Pharma, Inc.",1.31,14032769.78,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acst,24
AXDX,"Accelerate Diagnostics, Inc.",22.5,1157331307.5,n/a,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/axdx,25
ACCP,"Accelerated Pharma, Inc.",n/a,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/accp,26
XLRN,Acceleron Pharma Inc.,23.93,903273816.79,n/a,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/xlrn,27
ANCX,Access National Corporation,27,286477533,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/ancx,28
ARAY,Accuray Incorporated,5.6,457485772.8,n/a,2007,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/aray,29
ACRX,"AcelRx Pharmaceuticals, Inc.",3,136001370,n/a,2011,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acrx,30
ACET,Aceto Corporation,15.67,470904388.11,n/a,n/a,Health Care,Other Pharmaceuticals,http://www.nasdaq.com/symbol/acet,31
AKAO,"Achaogen, Inc.",17.33,605274512,n/a,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akao,32
ACHN,"Achillion Pharmaceuticals, Inc.",4.32,590461436.16,n/a,2006,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/achn,33
ACIW,"ACI Worldwide, Inc.",19.48,2284794103,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/aciw,34
ACRS,"Aclaris Therapeutics, Inc.",25.87,673913111.95,n/a,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acrs,35
ACNB,ACNB Corporation,29.9,181225753.8,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/acnb,36
ACOR,"Acorda Therapeutics, Inc.",21.55,993763294.3,n/a,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/acor,37
ATVI,"Activision Blizzard, Inc",40.01,29735966973.71,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/atvi,38
ACTA,Actua Corporation,14.1,491940991.2,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/acta,39
ACUR,"Acura Pharmaceuticals, Inc.",0.535,6331083.535,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acur,40
ACXM,Acxiom Corporation,28.55,2215438659.6,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/acxm,41
ADMS,"Adamas Pharmaceuticals, Inc.",16.37,359852362.73,n/a,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adms,42
ADMP,Adamis Pharmaceuticals Corporation,3.1,66912982.3,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/admp,43
ADAP,Adaptimmune Therapeutics plc,4.54,147753355.68,32544792,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/adap,44
ADUS,Addus HomeCare Corporation,35.7,409246985.7,n/a,2009,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/adus,45
AEY,"ADDvantage Technologies Group, Inc.",1.8402,18649019.247,n/a,n/a,Consumer Services,Office Equipment/Supplies/Services,http://www.nasdaq.com/symbol/aey,46
IOTS,Adesto Technologies Corporation,4.1,63508799.1,n/a,2015,Technology,Semiconductors,http://www.nasdaq.com/symbol/iots,47
ADMA,ADMA Biologics Inc,4.97,64047102.77,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/adma,48
ADBE,Adobe Systems Incorporated,115.17,56903017965.75,n/a,1986,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/adbe,49
ADTN,"ADTRAN, Inc.",21.75,1052660067,n/a,1994,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/adtn,50
ADRO,"Aduro Biotech, Inc.",12.15,816263973,n/a,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adro,51
AAAP,Advanced Accelerator Applications S.A.,34.25,1197701162.25,34969377,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aaap,52
ADES,"Advanced Emissions Solutions, Inc.",10.12,222662618.2,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/ades,53
AEIS,"Advanced Energy Industries, Inc.",61.7,2448795998.4,n/a,1995,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aeis,54
AMD,"Advanced Micro Devices, Inc.",12.24,11344873083.84,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/amd,55
ADXS,"Advaxis, Inc.",9.2,369353734,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adxs,56
ADXSW,"Advaxis, Inc.",5.3908,0,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adxsw,57
ADVM,"Adverum Biotechnologies, Inc.",2.9,120983693.5,n/a,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/advm,58
MAUI,AdvisorShares Market Adaptive Unconstrained Income ETF,24.2,1210000,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/maui,59
AEGN,Aegion Corp,23.62,802198336.26,n/a,n/a,Basic Industries,Water Supply,http://www.nasdaq.com/symbol/aegn,60
AGLE,"Aeglea BioTherapeutics, Inc.",4.02,53991948.66,n/a,2016,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agle,61
AEHR,Aehr Test Systems,2.3,37619906.3,n/a,1997,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/aehr,62
AMTX,"Aemetis, Inc",1.56,30978763.92,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/amtx,63
AERI,"Aerie Pharmaceuticals, Inc.",44.3,1478830131,n/a,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/aeri,64
AVAV,"AeroVironment, Inc.",26.41,617679985.1,n/a,2007,Capital Goods,Aerospace,http://www.nasdaq.com/symbol/avav,65
AEZS,AEterna Zentaris Inc.,2.95,38108085.25,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aezs,66
AEMD,"Aethlon Medical, Inc.",4.51,34840074.72,n/a,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/aemd,67
GNMX,"Aevi Genomic Medicine, Inc.",4.95,183634322.85,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/gnmx,68
AFMD,Affimed N.V.,2,66518808,n/a,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/afmd,69
AGEN,Agenus Inc.,4.12,358959861.6,n/a,2000,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/agen,70
AGRX,"Agile Therapeutics, Inc.",2.33,67005485.27,n/a,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agrx,71
AGYS,"Agilysys, Inc.",9.36,219012056.64,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/agys,72
AGIO,"Agios Pharmaceuticals, Inc.",43.9,1844448710.3,n/a,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agio,73
AGNC,AGNC Investment Corp.,18.94,6270012698.38,n/a,2008,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/agnc,74
AGNCB,AGNC Investment Corp.,25.579,8861846673.057,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/agncb,75
