,dayreturn,price,volumeratio,priorvol,yrHi,yrLo,qHi,qLo,mHi,mLo,VixOpen,Gap,VixDelta,3MoMom,3MoFear,MktBeat
1,-0.08974358974358987,1.42,1.0083846976720494,0.0412304428868293,0.16228571428571428,1.2909090909090908,0.7634408602150536,1.2678571428571426,0.8452380952380952,1.0364963503649633,13.49,0.007042253521126751,0.004467609828741725,-0.05067287824734368,-0.09228890444738125,1
2,-0.07838983050847459,4.35,0.62312734082397,0.08278651196123288,0.7410562180579215,1.5425531914893618,0.7410562180579215,1.1756756756756754,0.8665338645418327,1.1756756756756754,13.49,0.08045977011494276,0.004467609828741725,-0.05067287824734368,-0.09228890444738125,0
4,0.11470588235294121,3.79,2.106312292358804,0.03300232435575777,0.12190414924412994,1.2147435897435896,0.6434634974533108,1.1719233147804577,0.8046709129511678,1.1719233147804577,13.49,-0.02110817941952503,0.004467609828741725,-0.05067287824734368,-0.09228890444738125,0
6,-0.08012820512820518,5.74,2.007444390758934,0.030822613440642577,0.22291262135922332,1.9793103448275864,0.6705607476635513,1.0,0.7051597051597052,1.0,13.49,0.008710801393728262,0.004467609828741725,-0.05067287824734368,-0.09228890444738125,0
7,0.09734513274336298,1.24,4.9058894960534305,0.03909337369205865,0.32891246684350134,1.6103896103896103,0.8266666666666667,1.180952380952381,0.9323308270676691,1.169811320754717,13.49,-0.016129032258064502,0.004467609828741725,-0.05067287824734368,-0.09228890444738125,1
8,0.19696969696969702,0.79,2.218887449828809,0.05053474192333254,0.1413237924865832,1.5192307692307692,0.36405529953917054,1.4363636363636363,0.7596153846153846,1.4363636363636363,13.49,0.07594936708860756,0.004467609828741725,-0.05067287824734368,-0.09228890444738125,1
12,-0.0992366412213741,1.18,0.5177041585468986,0.07266353852875888,0.08121128699242945,2.0593368237347294,0.9007633587786259,2.0593368237347294,0.9007633587786259,1.353211009174312,13.49,0.0,0.004467609828741725,-0.05067287824734368,-0.09228890444738125,1
16,0.07514450867052025,1.86,2.6807280883367843,0.028037902826202298,0.5406976744186047,2.0,0.8230088495575223,1.0941176470588236,0.9489795918367347,1.0941176470588236,13.49,0.005376344086021501,0.004467609828741725,-0.05067287824734368,-0.09228890444738125,1
17,-0.11363636363636376,0.975,1.0917602996254683,0.09687660711634227,0.10785394650864606,1.8396226415094339,0.8863636363636362,1.6331658291457287,0.8863636363636362,1.392857142857143,13.49,0.00512820512820511,0.004467609828741725,-0.05067287824734368,-0.09228890444738125,1
18,0.1095505617977528,3.95,1.156190876602901,0.0585292095242724,0.329441201000834,1.2382445141065832,0.8127572016460906,1.2382445141065832,0.9101382488479264,1.2382445141065832,13.49,-0.07594936708860767,0.004467609828741725,-0.05067287824734368,-0.09228890444738125,1
20,0.0769230769230771,1.26,6.840639953598531,0.017806857061384476,1.0,1.5180722891566265,1.0,1.3404255319148937,1.0,1.1666666666666665,13.49,-0.007936507936507908,0.004467609828741725,-0.05067287824734368,-0.09228890444738125,1
23,-0.09693877551020402,1.77,3.1915287888815356,0.04985472812862309,0.28874388254486133,1.0,0.6531365313653137,1.0,0.7051792828685259,1.0,13.49,0.039548022598870025,0.004467609828741725,-0.05067287824734368,-0.09228890444738125,0
24,0.16346652828230424,11.21,6.734320315904859,0.02008454373680873,0.4840241796200346,1.1800000000000002,0.9158496732026145,1.1800000000000002,1.0,1.1800000000000002,13.49,-0.00535236396074934,0.004467609828741725,-0.05067287824734368,-0.09228890444738125,0
30,0.0958561746746891,48.130001,4.53018122131779,0.009510193245144733,1.0,1.462917874594658,1.0,1.2749669139072848,1.0,1.1327370848323328,13.49,-0.0027010387969864658,0.004467609828741725,-0.05067287824734368,-0.09228890444738125,0
33,0.09039548022598876,3.86,1.167212564779419,0.03385169743438759,0.1366371681415929,1.1028571428571428,0.2780979827089337,1.1028571428571428,0.7766599597585513,1.1028571428571428,13.49,-0.002590673575129432,0.004467609828741725,-0.05067287824734368,-0.09228890444738125,0
34,0.10052910052910069,2.08,3.2751879699248123,0.0361022877957605,0.25552825552825553,1.216374269005848,0.5098039215686274,1.216374269005848,0.8776371308016877,1.216374269005848,13.49,0.004807692307692291,0.004467609828741725,-0.05067287824734368,-0.09228890444738125,1
35,0.25300381918996995,36.5,7.049882871710072,0.013359941960276173,0.6919431279620853,1.49835790236626,0.9715198296513176,1.49835790236626,1.0,1.29985754985755,13.49,-0.003561671232876762,0.004467609828741725,-0.05067287824734368,-0.09228890444738125,1
89,0.12969140950792335,13.545,3.0156707422076803,0.03715201724861036,0.40541753965878485,1.2158886894075402,0.8829856584093873,1.2158886894075402,1.0,1.1567036720751493,14.45,0.017349575489110425,0.018322762508808932,-0.04849115993548092,-0.09744332937936195,1
94,0.0776846915460776,14.15,1.9442597023399166,0.019674767851452658,1.0,2.1471927162367224,1.0,1.5532381997804612,1.0,1.1522801302931598,14.45,-0.004240282685512353,0.018322762508808932,-0.04849115993548092,-0.09744332937936195,1
96,0.10780669144981414,11.92,2.4131104981340257,0.04879600851061382,0.6689113355780022,1.727536231884058,1.0,1.5851063829787235,1.0,1.4123222748815167,14.45,-0.019295302013422888,0.018322762508808932,-0.04849115993548092,-0.09744332937936195,1
97,0.1445086705202312,1.98,3.847732966944153,0.044627380085450266,0.27808988764044945,1.6097560975609757,0.8081632653061224,1.2374999999999998,0.9519230769230769,1.2374999999999998,14.45,0.05050505050505061,0.018322762508808932,-0.04849115993548092,-0.09744332937936195,1
98,-0.10629633333333344,24.129998999999998,5.974041398031897,0.022849102557387046,0.508106927432852,1.1140350415512463,0.585821791352799,1.0,0.585821791352799,1.0,14.45,-0.00704517227704804,0.018322762508808932,-0.04849115993548092,-0.09744332937936195,0
99,-0.1164021164021164,5.01,3.2811500521832815,0.0383048439466024,0.22128976242445947,1.0547368421052632,0.6644562334217506,1.0547368421052632,0.8713043478260869,1.0547368421052632,14.45,0.001996007984031989,0.018322762508808932,-0.04849115993548092,-0.09744332937936195,1
103,0.11486486486486491,3.3,1.9664164984863772,0.035330787536198116,0.47619047619047616,1.166077738515901,0.7142857142857142,1.166077738515901,0.8616187989556136,1.166077738515901,14.45,-0.0060606060606061,0.018322762508808932,-0.04849115993548092,-0.09744332937936195,0
105,0.1264222503160557,8.91,1.7028801355357899,0.02127750817106272,0.8005390835579514,1.3813953488372093,1.0,1.2894356005788712,1.0,1.272857142857143,14.45,0.0011223344556676729,0.018322762508808932,-0.04849115993548092,-0.09744332937936195,1
108,-0.10946196660482377,9.6,3.8710801393728222,0.10883015137015142,0.6003752345215759,1.3540197461212975,0.8888888888888888,1.350210970464135,0.8888888888888888,1.350210970464135,14.45,0.015625,0.018322762508808932,-0.04849115993548092,-0.09744332937936195,1
109,0.09907834101382473,4.77,0.9135764633772602,0.040161116878356086,0.5224534501642935,1.223076923076923,0.7806873977086742,1.223076923076923,0.8533094812164579,1.223076923076923,14.45,-0.016771488469601525,0.018322762508808932,-0.04849115993548092,-0.09744332937936195,0
110,0.18090452261306544,4.7,3.3453286655844794,0.056518618414050224,0.2926525711489771,1.7803030303030303,0.6072351421188631,1.370262390670554,1.0,1.370262390670554,14.45,0.006382978723404209,0.018322762508808932,-0.04849115993548092,-0.09744332937936195,1
113,0.09677419354838723,2.72,0.6097148364572592,0.05782215592722445,0.19359430604982206,1.5195530726256985,0.8023598820058997,1.4945054945054945,0.9251700680272109,1.314009661835749,14.45,0.007352941176470562,0.018322762508808932,-0.04849115993548092,-0.09744332937936195,0
114,0.07553956834532394,2.99,2.8304196644607176,0.05147507775708144,0.7204819277108434,1.7692307692307694,0.8567335243553009,1.472906403940887,0.8742690058479533,1.3171806167400881,14.45,0.0033444816053511683,0.018322762508808932,-0.04849115993548092,-0.09744332937936195,1
115,0.10185185185185186,5.95,5.547447952265716,0.03015183314220369,0.8310055865921788,1.8140243902439026,1.0,1.5575916230366493,1.0,1.2526315789473685,14.45,-0.003361344537815225,0.018322762508808932,-0.04849115993548092,-0.09744332937936195,0
116,0.07692307692307687,1.4,1.4768392370572208,0.0491244086875245,0.12068965517241378,1.0769230769230769,0.4268292682926829,1.0769230769230769,0.6008583690987124,1.0769230769230769,14.45,0.0071428571428571175,0.018322762508808932,-0.04849115993548092,-0.09744332937936195,1
117,0.11111111111111116,7.0,1.4152640073783722,0.032935072861313607,0.7600434310532029,1.9073569482288828,0.948509485094851,1.2773722627737225,1.0,1.263537906137184,14.45,0.0014285714285713347,0.018322762508808932,-0.04849115993548092,-0.09744332937936195,0
119,0.07881773399014791,4.38,1.2688473185713365,0.039310416612290094,0.1550442477876106,1.2514285714285713,0.31556195965417866,1.2514285714285713,0.9521739130434783,1.2514285714285713,14.45,-0.0022831050228310223,0.018322762508808932,-0.04849115993548092,-0.09744332937936195,1
121,0.0862068965517242,1.26,1.4888059701492538,0.0527783224115539,0.134185303514377,1.0956521739130436,0.4117647058823529,1.0956521739130436,0.6237623762376238,1.0956521739130436,14.45,0.031746031746031855,0.018322762508808932,-0.04849115993548092,-0.09744332937936195,0
