,dayreturn,price,Beta,3MoFear,MarketCapitalization,JSpread,VWkAvg,ndr,yrHi,yrLo,qHi,qLo,mHi,mLo,PriceToBook,ndvratio,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,Y
0,0.08045977011494254,5.64,2.3572,-0.17492564577338232,260.7654,5.97,17.568333499999998,-0.02659574468085102,0.5438765670202508,1.779179810725552,0.8091822094691535,1.3623188405797102,0.8597560975609756,1.1348088531187122,1.9955,0.6140979689366786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
1,0.20992366412213737,6.34,1.1578,-0.16502630368719085,366.7523,5.83,16.64666683333333,-0.018927444794952675,0.9309838472834068,1.8270893371757924,1.0,1.5095238095238095,1.0,1.4088888888888889,2.4376,0.27196961416548254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
2,0.15368196371398102,10.81,1.7669,-0.16502630368719085,243.3858,5.83,16.64666683333333,0.07030527289546717,0.3731446452587037,1.3103030303030303,0.8183194549583649,1.3087167070217918,0.8731825525040388,1.3087167070217918,1.0664,0.7293156281920327,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
4,0.5833333333333333,5.89,1.5069,-0.16502630368719085,210.7706,5.83,16.64666683333333,-0.09507640067911705,0.40204778156996585,1.9248366013071894,0.5354545454545454,1.9248366013071894,1.0,1.7122093023255813,1.8591,0.5044712173169374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
5,0.08163265306122458,2.12,1.1375,-0.21717548124627117,1488.5371,5.87,16.040000166666665,0.08490566037735836,0.4223107569721116,1.9272727272727272,1.0,1.9272727272727272,1.0,1.4722222222222223,99.1627,1.7207352466946146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
6,0.11407611741160784,33.400002,1.8187,-0.21717548124627117,1294.8658,5.87,16.040000166666665,-0.014071915325035045,0.5799618336516756,1.605769404123529,1.0,1.605769404123529,1.0,1.262759952258603,1.7026,0.3900971772327626,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
7,0.07536557930258714,9.56,1.3699,-0.21717548124627117,324.6328,5.87,16.040000166666665,0.0052301255230124966,1.0,2.1926605504587156,1.0,1.3915574963609898,1.0,1.2562417871222076,4.0829,1.2738051130048167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
8,0.10224438902743138,4.42,0.8948,-0.21717548124627117,1212.9806,5.87,16.040000166666665,0.013574660633484337,0.2680412371134021,1.5618374558303887,0.9364406779661018,1.5618374558303887,0.9364406779661018,1.262857142857143,8.4861,0.41818181818181815,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
9,0.12919254257166024,36.360001000000004,1.255,-0.21717548124627117,1130.606,5.87,16.040000166666665,-0.008525907356273343,1.0,1.5335302629072234,1.0,1.4422849044936497,1.0,1.2059701824212274,1.4397,0.25962606442058495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
10,0.090032183290091,3.389999,1.881,-0.21717548124627117,689545.6794,5.87,16.040000166666665,0.0737463344384468,0.6739563315929747,1.7208125486358115,0.9064170872772962,1.6950003475001736,0.9064170872772962,1.090032183290091,219.2285,1.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
12,0.08533333333333348,4.07,2.2095,-0.21717548124627117,1854.6696,5.87,16.040000166666665,-0.017199017199017286,0.6460317460317461,1.4131944444444446,0.9292237442922375,1.2523076923076923,0.9760191846522782,1.1120218579234973,3.805,0.25481038669904726,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
14,0.08490566037735836,2.3,1.1435,-0.19255410674179696,1614.9223,5.86,15.441666833333334,0.021739130434782705,0.4581673306772908,2.0909090909090904,1.0,2.0909090909090904,1.0,1.597222222222222,107.5822,0.881559220389805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
15,0.14942528735632177,2.0,0.9312,-0.19255410674179696,349.2796,5.86,15.441666833333334,-0.020000000000000018,0.7843137254901962,2.0408163265306123,1.0,2.0408163265306123,1.0,1.3513513513513513,0.8877,0.34660728320670686,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
16,0.10730253353204167,7.43,1.0054,-0.19255410674179696,343.3309,5.86,15.441666833333334,0.03364737550471064,0.6760691537761601,1.5543933054393304,1.0,1.5543933054393304,1.0,1.1664050235478807,0.3744,0.5366881507188894,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
17,0.11016949152542388,5.24,1.4554,-0.19255410674179696,324.2341,5.86,15.441666833333334,0.007633587786259444,0.48698884758364314,1.5321637426900585,1.0,1.5321637426900585,1.0,1.2505966587112172,0.6626,1.422481473328931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
18,0.1422764227642277,2.81,2.0642,-0.19255410674179696,1212.611,5.86,15.441666833333334,-0.04270462633451966,0.2663507109004739,1.9115646258503403,0.886435331230284,1.9115646258503403,0.9304635761589404,1.190677966101695,0.3206,0.21765935889973917,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
19,0.08272859216255446,7.46,1.5177,-0.19255410674179696,344.8701,5.86,15.441666833333334,-0.029490616621983934,0.8099891422366992,2.0,1.0,1.855721393034826,1.0,1.2884283246977548,0.7214,0.3737677213407192,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
20,0.11008325624421822,12.0,1.539,-0.1762024324987177,275.9012,5.79,15.096666666666666,-0.025833333333333375,0.8948545861297539,1.7118402282453637,0.8948545861297539,1.1730205278592374,0.8948545861297539,1.1594202898550725,1.0792,0.4678260869565217,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
21,0.11006888482991917,13.010003999999999,1.0161,-0.1762024324987177,689.6272,5.79,15.096666666666666,0.0023056103595355815,0.7086057665676851,1.2667966374300608,0.9615671129662148,1.155417454151655,0.9615671129662148,1.1100688848299192,1.3914,0.20934384764171998,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
22,0.07721280602636549,5.72,1.4176,-0.1762024324987177,369.1839,5.79,15.096666666666666,-0.00874125874125875,0.715,1.793103448275862,0.9744463373083475,1.3210161662817552,0.9777777777777777,1.16734693877551,26.4901,0.7741935483870968,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
