USID,MarketCapitalization,PriceToBook,Beta
144123,56.3384,1.0155,0.8717
102693,912.4317,490.9366,1.4125
96648,11.9666,2.2173,0.5309
85798,37.0823,1.8134,0.0503
76160,23.9553,0.4414,0.2276
73594,108.9766,2.3226,0.6425
58721,3.3958,0.502,-0.0927
130977,107.8415,33.8383,0.1376
122606,26.2697,2.2967,1.1512
122342,24903.3485,205.1818,2.1702
121797,558.0973,6.2845,1.5809
120510,101.3302,10.1836,1.11
107628,31.35,0.5745,0.7343
105826,75.584,1.4283,1.2393
103559,393.4242,1.2839,1.3056
130974,107.8415,33.8383,0.1213
123792,107.2977,1.1788,1.5825
123250,87.7655,2.8494,-0.1347
122602,7.3676,0.6441,1.1365
119883,243.1635,1.9854,1.7388
109410,174.732,1.8953,1.7248
109117,200.3799,1.9879,0.9537
140350,32.3201,3.4018,0.228
128725,758.4899,47.3131,1.3679
127382,156.2282,3.5443,1.4683
118767,6.1175,0.2134,0.8588
114171,105.0735,0.1039,1.3122
158007,112.0123,1.7496,0.3396
154114,85.4883,0.6402,0.6479
153757,375.3957,2.9191,1.0043
153252,9.0967,0.4957,0.3633
152451,162.0748,2.5306,2.341
153365,30.626,0.7559,1.7531
136390,365.6348,4.2979,1.8591
132495,78.8381,1.1132,1.1802
129770,575.5244,-24.7239,1.813
128720,471.5747,29.4159,1.4015
123783,103.7893,0.9953,1.5059
123244,80.1427,2.253,0.0061
140346,24.516,2.5804,0.2956
135930,76.3691,1.1638,1.3726
132494,69.1873,0.9497,1.1389
130962,112.8905,35.4226,0.1797
122323,37613.0885,309.899,1.8745
119873,261.3144,2.1336,1.4049
116388,95.8585,1.8098,2.0606
109404,109.6901,1.1193,1.7167
123243,72.1078,2.0271,0.0046
122595,5.8273,0.5095,1.03
122322,40967.9437,337.54,1.8735
116035,591.7286,161.0827,0.6053
111246,54.5615,1.4344,1.0075
106998,71.2649,2.8438,0.6924
105441,10.3569,-7.5214,0.7225
103555,350.4642,1.1431,1.3624
140317,167.5411,2.0554,1.2555
140260,201.733,1.2986,1.7441
139961,3.5931,0.1595,0.1438
132952,132.7443,3.7581,0.6398
128714,393.2911,24.5327,1.3707
123782,147.8586,1.4179,1.5427
134350,56.7363,-1.5401,0.455
122586,4.6727,0.4085,1.2557
118715,12.7799,1.2724,0.5929
116029,687.0069,187.0198,0.5486
114158,109.9606,0.0996,1.0767
102853,1850.5938,2.426,1.2436
170591,97.1764,2.7699,0.7533
170058,87.6073,-2.4724,1.2844
168538,355.2308,-16.7923,0.5965
165797,204.6078,-1.4494,1.3531
165265,111.2524,2.4554,1.0487
164245,138.0401,1.2106,0.286
163212,352.1632,6.5775,1.2783
158004,115.6773,1.8068,0.2997
157322,132.8979,14.6703,0.9179
154109,85.0237,0.6367,0.7011
152564,41.8376,1.8924,-0.1499
143429,842.094,3.1524,0.8185
135258,6.3405,-2.588,-0.0554
128398,57.356,1.5907,0.4688
127407,512.0319,4.059,3.793
127375,136.2841,3.0918,1.3504
164453,53.9906,0.0882,2.1013
161106,59.0266,0.9087,0.9495
157320,132.4412,14.6199,0.8696
157087,182.4952,1.413,1.9795
155500,238.4102,5.1333,0.0
154568,310.2343,1.772,1.9159
123277,305.6005,2.8944,0.0
119868,386.9296,3.1592,0.9103
119027,606.2711,16.6512,1.5145
86105,81.2684,0.8273,0.66
122306,30291.2831,47.9989,1.7515
103109,12.1606,0.3583,0.0522
100326,22.1326,2.2061,1.0298
79429,88.2554,-1.7155,1.2789
71603,150.1042,0.254,0.7703
68208,38.6442,0.2061,1.137
58037,123.7794,0.4761,1.3639
47399,68.0881,2.5808,1.5789
139951,4.7082,0.2091,0.0557
128711,624.3831,31.7867,1.493
127374,181.3678,2.8554,1.369
126152,19.8887,1.4338,0.433
122304,29097.6968,46.1076,1.7349
114152,106.0509,0.0961,1.0609
93182,46.8397,1.4944,1.1244
79427,84.1185,-1.6351,1.2554
102683,1165.1051,270.1823,1.6243
99146,38.0949,1.053,1.1179
97294,115.4769,4.2968,0.6199
93881,13.3056,0.7958,-0.1519
79426,93.7714,-1.8227,1.2651
72017,12.4145,1.1732,1.129
154107,70.4222,0.5371,0.8138
153749,439.3742,3.2751,0.993
139950,5.5755,0.2476,0.0539
122576,7.1336,0.6237,1.3005
105434,17.3512,-12.6007,0.625
97293,110.513,4.1121,0.5723
90312,62.822,1.5861,0.3819
88165,276.6066,25.75,1.1305
83692,6.1539,0.2663,0.169
26827,23.8894,3.44,-0.0711
15073,54.8489,1.5741,0.7797
143415,400.4942,3.8873,0.671
140272,62.4344,0.4873,1.5495
134374,47.3266,-1.2578,0.862
122617,12.6541,5.0215,1.0378
122360,12838.7696,1833.6085,2.1292
118727,11.2585,1.0917,0.5382
139983,7.9296,0.3521,0.1613
118774,10.2019,0.5385,0.8383
114038,37.4492,10.8081,1.0786
105443,8.5083,-4.848,0.81
96649,13.1155,2.4302,0.543
80123,15.8342,0.8805,0.5193
139863,195.2102,8.9696,0.0
136363,89.5033,1.5324,0.8142
134359,57.6125,-1.5639,0.9263
129774,1935.462,37.1981,1.8838
119852,99.5403,-35.7039,0.7935
114167,99.2089,0.0899,1.2532
106811,120.8947,1.2226,0.9751
105820,124.5272,2.3532,1.3196
98255,17.4528,1.0331,0.5188
91220,118.0988,1.032,1.2896
90314,53.9075,1.6102,0.3838
85306,212.7805,4.3152,3.7982
68129,476.2202,4.5019,0.3504
