USID,LatestCloseAsPercentOf10DayAverage,LatestCloseAsPercentOf10WeekAverage,LatestCloseAsPercentOf200DayAverage
168751,110.01,110.1074,81.507
5168,108.9699,110.0393,106.0558
179380,79.4313,62.283,50.5584
108521,89.2254,85.5462,91.1493
72745,85.7673,83.7245,99.3653
206363,111.5868,113.0985,108.3503
27010,85.8209,69.4164,63.3649
111127,85.4953,84.4333,84.4813
151671,107.6749,107.1732,107.8092
225896,114.4357,112.3165,78.613
131943,92.7657,94.1476,101.4338
172792,131.0564,130.8749,148.9003
21875,87.2629,82.4331,84.034
88292,87.7638,89.7971,116.788
103621,118.782,121.7649,106.4258
40032,112.3338,105.6422,103.9637
111155,79.8122,85.4807,113.0174
92937,116.3348,114.2405,140.5874
180553,93.7286,93.6917,93.3742
57708,113.6821,113.142,104.9411
110037,94.4056,62.6048,33.5223
71986,112.466,109.475,110.7622
11350,112.082,119.3273,156.3771
190328,110.7634,109.5904,111.5659
17715,87.3456,82.2282,84.8843
101951,103.1785,94.9122,99.0843
189104,110.5499,110.1748,103.023
164276,140.29,131.8176,155.0827
213548,91.7811,71.2506,76.4107
175591,114.8232,123.2673,108.371
213057,95.2282,97.0426,77.4643
173903,116.2188,120.2876,106.422
26988,80.401,77.4381,83.5833
171407,92.8849,93.7695,108.5499
85726,110.9694,105.0347,107.915
136673,87.4722,85.9812,93.6524
205332,89.5219,90.2466,110.871
84084,106.0706,105.6916,122.8729
104096,93.3119,91.585,84.6715
212165,91.906,85.6279,83.8128
213547,81.4228,63.9433,68.8013
8009,93.5388,86.1754,60.3846
177877,87.4832,86.0806,92.7005
66552,108.299,119.6029,135.0966
389,110.5105,83.604,92.8266
108087,119.0476,123.4676,115.2009
147311,109.2168,118.8772,112.1007
66696,106.8182,113.5295,134.0311
188180,90.831,87.0501,107.0122
202434,87.1131,87.9398,91.9181
148789,107.1019,110.1339,94.0715
423,94.4377,92.9163,99.7993
178307,115.5982,118.7772,140.0854
218149,96.1015,97.01,85.6854
170551,111.9168,106.6036,85.2079
204479,94.1496,72.4886,42.5306
163558,85.2412,86.0983,85.5444
203381,95.5254,94.9737,109.3983
220226,107.0221,105.2279,100.1268
202433,102.1577,104.6567,107.317
145243,94.0751,94.9014,110.8052
212774,91.616,104.8497,120.155
196949,107.453,110.8154,123.2536
147392,149.8371,218.7152,242.0352
62902,86.8444,79.5542,65.7407
188165,90.3203,86.6687,93.5611
103263,93.6461,101.7721,81.3129
25713,69.496,56.45,70.2317
17196,125.7387,128.8747,126.4263
52849,110.2045,109.5974,89.3335
209158,106.6998,114.2453,155.0356
98248,107.4307,109.7298,118.7472
115746,116.1228,108.1281,119.0245
194525,91.7017,97.0215,95.9891
49634,116.6229,122.6478,141.6192
127931,107.0348,112.3367,118.2391
212164,81.1757,80.1946,79.4557
190298,110.7837,110.0442,121.5361
157825,88.6858,98.3596,89.9038
115245,133.2685,133.6817,128.2379
110468,85.5778,85.1465,75.84
38822,114.0761,126.0643,180.3043
108357,113.2461,121.2455,114.3464
181675,92.6604,98.3505,73.9211
136623,117.6915,119.1096,125.7697
143436,109.2478,112.6761,84.5341
202432,113.149,115.4598,117.1624
115674,105.655,104.4104,126.0511
18566,106.0372,97.1533,100.0986
83403,85.9387,76.9209,81.877
182905,114.4822,122.5686,109.7084
219811,109.6801,108.9986,118.5839
20221,90.7409,93.8241,119.2297
31432,85.1288,85.403,89.561
130328,81.6106,81.4036,90.8251
153276,187.2182,223.8016,237.1723
189926,93.8075,96.9776,88.8883
60425,88.6949,88.2828,98.4059
9291,107.9632,116.5607,120.7187
48391,91.9696,94.743,109.6994
97458,113.7587,116.4647,132.1834
115745,109.9707,100.6089,110.6627
139124,91.7324,95.8394,113.7482
11115,93.9358,78.7236,62.6152
196316,114.3206,116.7466,104.9778
